ulasan,rating,tanggal,kategori,nama_aplikasi,app_id,label,confidence,label_original
Mantal,5,2026-08-02 11:22:48-07:00,ecommerce,Tokopedia,1001394201,positif,0.9897857904434204,positif
"tiap abis lama gk pake tokped pasti bug barang di etalase toko favorit ilang, pas di tanya di tokonya produknya ada semua tapi di layar saya ilang smua, tolong di fiks yahh min supaya lebih nyaman kita pakainya.",3,2026-08-02 08:00:22-07:00,ecommerce,Tokopedia,1001394201,negatif,0.939951479434967,netral
Makasih,5,2026-08-02 06:28:14-07:00,ecommerce,Tokopedia,1001394201,positif,0.9813950657844543,positif
"Pembayaran menggunakan SALDO TOKOPEDIA yang tersimpan setelah pembatalan pembelian produk tidak dapat dilakukan, dana hanya dapat ditarik, dan proses penarikan menjadi lebih kompleks dengan harus melanpirkan foto KTP dan Rekam Wajah, tidak seperti sebelumnya yang lebih mudah dan sederhana dalam setiap transaksi.",2,2026-08-02 05:40:40-07:00,ecommerce,Tokopedia,1001394201,positif,0.6303336024284363,negatif
Pesan instan tapi proses pickup lebih dari sehari. Fitur chat CS susah dan dibuat berkelit!,1,2026-08-02 03:44:50-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9944990873336792,negatif
mudah untuk berbelanja,5,2026-08-02 00:33:04-07:00,ecommerce,Tokopedia,1001394201,positif,0.9943312406539917,positif
"Terbaik dalam segala hal, terumata apabila ada kendala pembelian",5,2026-08-01 22:48:53-07:00,ecommerce,Tokopedia,1001394201,positif,0.9607117176055908,positif
Joss jiss,5,2026-08-01 22:36:58-07:00,ecommerce,Tokopedia,1001394201,positif,0.9942123293876648,positif
"Kepada Pihak yth Tokopedia, saya merasa sangat dikecewakan karena maraknya kasus penipuan. Dan setiap kali ada keluhan ke costumer service… entah mengapa responnya selalu sama “Masih dalam tahap Investigasi” dan proses ini berjalan ber-hari-hari, saya sebagai costumer merasa sangat dirugikan terutama toko para penipu-penipu ini masih saja belum kena sanksi apapun walau telah dilaporkan secara berulang.",1,2026-08-01 16:46:57-07:00,ecommerce,Tokopedia,1001394201,negatif,0.8754655122756958,negatif
very recomendedd!!,5,2026-08-01 14:58:31-07:00,ecommerce,Tokopedia,1001394201,positif,0.9947314262390137,positif
Worth it,5,2026-08-01 11:42:55-07:00,ecommerce,Tokopedia,1001394201,positif,0.9848695993423462,positif
Update tai gak bisa nge search barang di toko,1,2026-08-01 08:31:16-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9872548580169678,negatif
sip,5,2026-08-01 03:38:15-07:00,ecommerce,Tokopedia,1001394201,positif,0.9766785502433777,positif
Aplikasi bagussss,5,2026-07-31 23:19:38-07:00,ecommerce,Tokopedia,1001394201,positif,0.9964248538017273,positif
Proses sangat cepat,5,2026-07-31 23:03:00-07:00,ecommerce,Tokopedia,1001394201,positif,0.9912927746772766,positif
Belanja mudah dan terpecaya ya di tokped!,5,2026-07-31 19:14:24-07:00,ecommerce,Tokopedia,1001394201,positif,0.9738110303878784,positif
"Voucher plus tiba tiba hilang, gimana sih kok tiba tiba hilang",1,2026-07-31 10:23:30-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9599975347518921,negatif
"Penjualnya gak responsif. Pesanan d batalkan jangka waktu pembatallnya lama sekali. Uang d tarik gak langsung masuk rekening, nunggu ber jam2.",3,2026-07-31 08:12:40-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9964348077774048,netral
okokok,4,2026-07-31 05:20:40-07:00,ecommerce,Tokopedia,1001394201,positif,0.9816867113113403,positif
👍,5,2026-07-31 04:34:34-07:00,ecommerce,Tokopedia,1001394201,positif,0.9349059462547302,positif
Versi terbaru 8.8 ga bisa combo pembayaran dengan promo bank. Tolong segera diperbaiki,1,2026-07-30 22:56:10-07:00,ecommerce,Tokopedia,1001394201,negatif,0.8846491575241089,negatif
"Gak pernah ada Promo,beda dengan Aplikasi ,Orange dan Hitam",1,2026-07-30 22:15:48-07:00,ecommerce,Tokopedia,1001394201,negatif,0.7600746750831604,negatif
Mantap,5,2026-07-30 19:27:57-07:00,ecommerce,Tokopedia,1001394201,positif,0.9971997737884521,positif
Crot,5,2026-07-30 14:11:01-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9935629367828369,positif
"Tampilan toko tidak proporsional, semuanya jumbo jumbo hingga menutup tipografi nama dan harga barang, untuk tampilan produk sudah bagus, device ipad",3,2026-07-30 11:12:56-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9837701320648193,netral
"Jangan pake kartu kalo belanja, data saya KENA SCAM",1,2026-07-30 02:28:43-07:00,ecommerce,Tokopedia,1001394201,negatif,0.992196798324585,negatif
Terlalu banyak bugs,1,2026-07-30 00:21:43-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9980759620666504,negatif
ga bisa dipake vouchernya kalo ga niat kasih ga usah adain voucher nya,1,2026-07-30 00:08:55-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9600365161895752,negatif
Search function not working,1,2026-07-29 23:29:20-07:00,ecommerce,Tokopedia,1001394201,negatif,0.860863983631134,negatif
"Integrasi makin jelek, promo untuk pembayaran tertentu di hilangkan, di iphone versi lama dan perangkat android masih ada.. efek phk kah ? 🤡",1,2026-07-29 21:41:58-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9961493015289307,negatif
"Sebelumnya ketika seller gagal kirim kita bisa tarik dana ditransfer ke rekening sekarang harus verifikasi ktp dan Selfi, ribet ini aplikasi padahal ditarik dari akun yang sama",1,2026-07-29 19:56:09-07:00,ecommerce,Tokopedia,1001394201,negatif,0.8360744714736938,negatif
Bagus dan sangat membantu,5,2026-07-29 18:24:54-07:00,ecommerce,Tokopedia,1001394201,positif,0.9943481087684631,positif
Setelah update diskon pembayaran menghilang. Perbaikan cepat ditunggu,2,2026-07-29 18:24:12-07:00,ecommerce,Tokopedia,1001394201,negatif,0.7868809103965759,negatif
Mantab,5,2026-07-29 09:53:39-07:00,ecommerce,Tokopedia,1001394201,positif,0.9971135854721069,positif
"pengguna baru mau pake diskon selalu muncul 'promo tidak berlaku' udh berkali' nyoba ttp gabisa, emg paling bnr apk sebelah!!!",1,2026-07-28 20:01:38-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9691981673240662,negatif
Tokopedia kurang cepat & sangat menyepelekan masalah / kasus yang dihadapi oleh customer,1,2026-07-28 19:52:01-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9611725211143494,negatif
bagus,5,2026-07-28 11:39:14-07:00,ecommerce,Tokopedia,1001394201,positif,0.9961093068122864,positif
Telat bayar sehari pake gopay cuma seratusan ribu krn lupa tetapi diteror terus ditelp dan diancam. Semoga kena karma suatu saat gulung tikar,1,2026-07-28 09:00:58-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9962974190711975,negatif
semenjak update aplikasi promo bank dan promo metode pembayaran malah ga muncul. tolong diperbaiki,1,2026-07-28 08:42:22-07:00,ecommerce,Tokopedia,1001394201,negatif,0.8844572305679321,negatif
"Gets laggy the more you use it, phone gets hot, crashes and freezes often",1,2026-07-28 06:49:42-07:00,ecommerce,Tokopedia,1001394201,negatif,0.4937736392021179,negatif
Top,5,2026-07-28 05:04:44-07:00,ecommerce,Tokopedia,1001394201,positif,0.9970552921295166,positif
Besttttttt,5,2026-07-27 22:49:49-07:00,ecommerce,Tokopedia,1001394201,positif,0.9968050718307495,positif
"Harus banget nih videonya autoplay dengan sound on? Tanpa ada opsi untuk disable fitur itu? Akibatnya saya gak bisa browse Tokopedia sambil dengerin lagu. Scroll dikit musik tiba2 berhenti. 
Developer pakai aplikasi ini gak sih sbenernya?",1,2026-07-27 18:14:51-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9288675785064697,negatif
mantull,4,2026-07-27 17:40:49-07:00,ecommerce,Tokopedia,1001394201,positif,0.9949043989181519,positif
apk taekk voucher ra kenk digae jan enek ae masalahe gj,1,2026-07-27 12:40:36-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9947985410690308,negatif
Penanganan masalah cepat. Simple to use.,5,2026-07-27 12:29:54-07:00,ecommerce,Tokopedia,1001394201,positif,0.7803855538368225,positif
"UDAH GA JELAS NI APPS SEKARANG YAA!!! NTAH APA YANG TERJADI SAMA NI APPS!! BERTAUN2 PAKE NI APPS UDA PALING BENER. HARI INI BENER2 KEJADIAN TERSAMPAH YANG NUNJUKIN NI APPS SAMA PERUSAHAAN NYA UDA GA SAMA LAGI! PESEN OPSI INSTANT TANPA ADA OPSI KURIR LOGISTIK NYA, NORMAL NYA PAKE GOSEND, TIBA2 DIANTER PAKE LOGISTIK SUPER SAMPAH NAMA NYA ANTERAJA!!! PESEN INSTANT JAM 9 PAGI SAMPE JAM 10 MALEM, DAN KURIR NYA BILANG PAS NGANTER, INI SAMEDAY BUKAN INSTANT?!?!!?!?! SAMEDAY AJA GA SELAMA INI TOLOLLLL!!!",1,2026-07-27 07:48:22-07:00,ecommerce,Tokopedia,1001394201,negatif,0.9857884049415588,negatif
Sistem search rusak. Malah kebanyakan video kaya sopi,1,2026-07-27 07:10:06-07:00,ecommerce,Tokopedia,1001394201,negatif,0.997585654258728,negatif
